latitude,longitude,magnitude,time,catalog_id
-42.66147167301138,177.58777957853547,4.1,2016-12-09 07:43:29.628585,9
-37.8815470943158,176.212854683478,4.4,2017-02-03 05:14:12.858117,9
-41.43149782568239,175.84484041096363,4.3,2016-12-21 13:02:43.150332169,9
-38.01320197274936,176.58730607451736,4.1,2016-12-14 07:54:29.414807788,9
-45.69821112408343,166.63589470999233,4.3,2016-12-19 07:04:18.660433098,9
-41.70694080331803,174.16029096984477,4.8,2016-12-11 08:52:38.772208921,9
-37.48153135695062,178.56438770416912,4.9,2017-01-01 13:28:36.242584018,9
-36.942975394774926,178.83955064896946,4.3,2016-11-20 17:46:27.545261495,9
-37.30891534473047,176.9219029237223,5.7,2016-12-01 20:36:19.444081974,9
-42.510191356255966,173.09951002403403,4.2,2017-02-08 17:51:31.287134739,9
-41.87086276647494,174.19924165036514,5.0,2016-11-14 13:36:49.952193018,9
-42.30807548013803,173.48610210648616,4.3,2016-11-14 21:53:47.247998264,9
-41.762849485359446,174.16403502610288,4.2,2016-11-14 06:38:14.594003186,9
-42.46394835548176,173.2433059753111,4.3,2016-11-16 15:06:36.975007239,9
-41.80484966957069,174.19884496305554,4.7,2016-11-29 04:50:21.339834862,9
-42.36965019984648,174.37748712341607,4.2,2016-11-15 19:01:09.034800949,9
-41.95207404628772,173.97615407049838,4.2,2016-12-27 07:27:55.446983608,9
-41.737003903474886,174.39168880002228,4.1,2016-11-14 02:20:05.930806479,9
-41.76247576987255,174.16509836755623,4.7,2016-11-15 02:46:25.508389470,9
-37.20244509609289,176.8760817995101,5.4,2016-12-02 03:19:39.427659,10
-41.95321606458597,171.9438228836032,4.7,2016-12-13 11:55:37.602228,10
-36.608925566042245,176.59099075752178,4.4,2017-01-20 02:26:54.810246,10
-35.60062905105194,178.87812983073593,4.2,2017-01-24 05:50:58.216026,10
-42.7168262425958,173.19676281956225,4.4,2016-11-17 06:26:49.282456589,10
-42.75595184818852,173.60342142740558,4.1,2016-11-14 01:21:48.744954677,10
-42.638667696199256,173.3852223651596,4.1,2016-12-17 01:14:07.243901422,10
